platform,id,title,budget,currency,skills,url
hh_ru,131793345,Ведущий специалист по развитию автоматизированных систем расчета,,RUB,,https://hh.ru/vacancy/131793345
hh_ru,132134185,Data Engineer,,RUB,,https://hh.ru/vacancy/132134185
hh_ru,131353165,Разработчик ИИ-агентов / AI Creator,130000.0,RUR,,https://hh.ru/vacancy/131353165
hh_ru,132133999,Инженер-разработчик (механика + электроника + программирование),185000.0,RUR,,https://hh.ru/vacancy/132133999
hh_ru,131621609,Наставник по автоматизации тестирования (Python/JavaScript/Java) в онлайн-школу ,,RUB,,https://hh.ru/vacancy/131621609
hh_ru,132133724,Инженер - Программист,175000.0,RUR,,https://hh.ru/vacancy/132133724
hh_ru,132133224,Python developer (middle),185000.0,RUR,,https://hh.ru/vacancy/132133224
hh_ru,131621248,Python-разработчик/ML-инженер,300000.0,RUR,,https://hh.ru/vacancy/131621248
hh_ru,119816398,Python-разработчик,,RUB,,https://hh.ru/vacancy/119816398
hh_ru,124054145,Разработчик Python в LLM Platform,,RUB,,https://hh.ru/vacancy/124054145
hh_ru,132132477,Python-разработчик,,RUB,,https://hh.ru/vacancy/132132477
hh_ru,132132453,Старший разработчик ИИ-агентов,,RUB,,https://hh.ru/vacancy/132132453
hh_ru,131673052,AI-разработчик (Python) Junior / Middle,,RUB,,https://hh.ru/vacancy/131673052
hh_ru,132131244,Ведущий инженер,,RUB,,https://hh.ru/vacancy/132131244
hh_ru,131589820,Стажер Python-разработчик,,RUB,,https://hh.ru/vacancy/131589820
hh_ru,132130800,Функциональный архитектор Optimacros,,RUB,,https://hh.ru/vacancy/132130800
hh_ru,131807417,Старший разработчик (SQL+Python),180000.0,RUR,,https://hh.ru/vacancy/131807417
hh_ru,132130042,Старший разработчик Python (hardware),,RUB,,https://hh.ru/vacancy/132130042
hh_ru,132129734,Стажер-разработчик Python,,RUB,,https://hh.ru/vacancy/132129734
hh_ru,130501930,Инженер-разработчик ПО (SCADA-системы),,RUB,,https://hh.ru/vacancy/130501930
hh_ru,130501931,Инженер-разработчик ПО (SCADA-системы),,RUB,,https://hh.ru/vacancy/130501931
remoteok,1130953,Biology AI Training Expert,,USD,"training, python, technical, biology",https://remoteOK.com/remote-jobs/remote-biology-ai-training-expert-anyone-ai-1130953
remoteok,1130952,Data Analyst,,USD,"analyst, security, python, game, technical",https://remoteOK.com/remote-jobs/remote-data-analyst-world-golf-tour-wgt-1130952
remoteok,1130924,Staff Machine Learning Engineer,,USD,"design, system, python, technical, support",https://remoteOK.com/remote-jobs/remote-staff-machine-learning-engineer-fullscript-1130924
remoteok,1130908,Senior Backend Engineer Integrations,,USD,"design, system, python, technical, support",https://remoteOK.com/remote-jobs/remote-senior-backend-engineer-integrations-arbiter-ai-1130908
remoteok,1130860,Security Engineer II Canada,,USD,"security, design, python, support, developer",https://remoteOK.com/remote-jobs/remote-security-engineer-ii-canada-nerdwallet-1130860
remoteok,1130707,Solutions Analytics Data Scientist,,USD,"python, technical, support, financial, fintech",https://remoteOK.com/remote-jobs/remote-solutions-analytics-data-scientist-sentilink-1130707
remoteok,1130695,Rigging Technical Artist NBA 2K,,USD,"python, game, technical, support, code",https://remoteOK.com/remote-jobs/remote-rigging-technical-artist-nba-2k-2k-1130695
remoteok,1130694,Senior Software Engineer Python Django PostgreSQL and Vue.js,,USD,"python, django, software, design, saas",https://remoteOK.com/remote-jobs/remote-senior-software-engineer-python-django-postgresql-and-vue-js-ghx-1130694
remoteok,1130673,Senior DevOps Engineer,,USD,"design, ansible, security, python, training",https://remoteOK.com/remote-jobs/remote-senior-devops-engineer-chownow-1130673
remoteok,1130651,Backend Developer,,USD,"developer, back-end, python, reliability, backend",https://remoteOK.com/remote-jobs/remote-backend-developer-autods-1130651
remoteok,1130609,Staff Engineer Software Release and Packaging RISC V,,USD,"software, system, python, engineer, linux",https://remoteOK.com/remote-jobs/remote-staff-engineer-software-release-and-packaging-risc-v-tenstorrent-1130609
remoteok,1130565,Early Career Software Engineer Warfighter Systems,,USD,"software, system, security, python, 3d",https://remoteOK.com/remote-jobs/remote-early-career-software-engineer-warfighter-systems-anduril-industries-1130565
